,location,total_cases,population
0,Afghanistan,180528.0,39835428.0
1,Albania,276221.0,2872934.0
2,Algeria,265889.0,44616626.0
3,Andorra,42894.0,77354.0
4,Angola,99761.0,33933611.0
5,Anguilla,3294.0,15125.0
6,Antigua and Barbuda,8297.0,98728.0
7,Argentina,9230573.0,45605823.0
8,Armenia,422963.0,2968128.0
9,Aruba,37352.0,107195.0
10,Australia,7407451.0,25788217.0
11,Austria,4293028.0,9043072.0
12,Azerbaijan,792810.0,10223344.0
13,Bahamas,34909.0,396914.0
14,Bahrain,586861.0,1748295.0
15,Bangladesh,1953563.0,166303494.0
16,Barbados,81028.0,287708.0
17,Belarus,982867.0,9442867.0
18,Belgium,4158754.0,11632334.0
19,Belize,59666.0,404915.0
20,Benin,27161.0,12451031.0
21,Bermuda,15085.0,62092.0
22,Bhutan,59628.0,779900.0
23,Bolivia,909372.0,11832936.0
24,Bonaire Sint Eustatius and Saba,10123.0,26445.0
25,Bosnia and Herzegovina,377949.0,3263459.0
26,Botswana,308126.0,2397240.0
27,Brazil,30996208.0,213993441.0
28,British Virgin Islands,6765.0,30423.0
29,Brunei,149355.0,441532.0
30,Bulgaria,1165538.0,6896655.0
31,Burkina Faso,20899.0,21497097.0
32,Burundi,42084.0,12255429.0
33,Cambodia,136262.0,16946446.0
34,Cameroon,119947.0,27224262.0
35,Canada,3900437.0,38067913.0
36,Cape Verde,56425.0,561901.0
37,Cayman Islands,25318.0,66498.0
38,Central African Republic,14649.0,4919987.0
39,Chad,7417.0,16914985.0
40,Chile,3720334.0,19212362.0
41,China,883623.0,1444216102.0
42,Colombia,6109105.0,51265841.0
43,Comoros,8126.0,888456.0
44,Congo,24128.0,5657017.0
45,Cook Islands,5692.0,17572.0
46,Costa Rica,904934.0,5139053.0
47,Cote d'Ivoire,82260.0,27053629.0
48,Croatia,1137192.0,4081657.0
49,Cuba,1105389.0,11317498.0
50,Curacao,43953.0,164796.0
51,Cyprus,489963.0,896005.0
52,Czechia,3924036.0,10724553.0
53,Democratic Republic of Congo,89189.0,92377986.0
54,Denmark,3140134.0,5813302.0
55,Djibouti,15675.0,1002197.0
56,Dominica,14329.0,72172.0
57,Dominican Republic,584526.0,10953714.0
58,Ecuador,889669.0,17888474.0
59,Egypt,515645.0,104258327.0
60,El Salvador,162847.0,6518500.0
61,Equatorial Guinea,16020.0,1449891.0
62,Eritrea,9765.0,3601462.0
63,Estonia,576870.0,1325188.0
64,Eswatini,72617.0,1172369.0
65,Ethiopia,473635.0,117876226.0
66,Faeroe Islands,34658.0,49053.0
67,Falkland Islands,1719.0,3528.0
68,Fiji,65063.0,902899.0
69,Finland,1105211.0,5548361.0
70,France,30078466.0,67422000.0
71,French Polynesia,72971.0,282534.0
72,Gabon,47677.0,2278829.0
73,Gambia,12102.0,2486937.0
74,Georgia,1655221.0,3979773.0
75,Germany,26452204.0,83900471.0
76,Ghana,161481.0,31732128.0
77,Gibraltar,18583.0,33691.0
78,Greece,3461025.0,10370747.0
79,Greenland,11972.0,56868.0
80,Grenada,17850.0,113015.0
81,Guam,0.0,170184.0
82,Guatemala,862756.0,18249868.0
83,Guernsey,0.0,63385.0
84,Guinea,36764.0,13497237.0
85,Guinea-Bissau,8283.0,2015490.0
86,Guyana,65090.0,790329.0
87,Haiti,30874.0,11541683.0
88,Honduras,425391.0,10062994.0
89,Hong Kong,1213717.0,7552800.0
90,Hungary,1919840.0,9634162.0
91,Iceland,188565.0,368792.0
92,India,43168585.0,1393409033.0
93,Indonesia,6055645.0,276361788.0
94,Iran,7232443.0,85028760.0
95,Iraq,2328369.0,41179351.0
96,Ireland,1574408.0,4982904.0
97,Isle of Man,33098.0,85410.0
98,Israel,4147406.0,9291000.0
99,Italy,17458098.0,60367471.0
100,Jamaica,137724.0,2973462.0
101,Japan,8881489.0,126050796.0
102,Jersey,0.0,101073.0
103,Jordan,1697047.0,10269022.0
104,Kazakhstan,1454293.0,18994958.0
105,Kenya,325170.0,54985702.0
106,Kiribati,3102.0,121388.0
107,Kosovo,228378.0,1782115.0
108,Kuwait,633225.0,4328553.0
109,Kyrgyzstan,200993.0,6628347.0
110,Laos,210045.0,7379358.0
111,Latvia,828998.0,1866934.0
112,Lebanon,1099368.0,6769151.0
113,Lesotho,33562.0,2159067.0
114,Liberia,7582.0,5180208.0
115,Libya,502016.0,6958538.0
116,Liechtenstein,17516.0,38254.0
117,Lithuania,1062819.0,2689862.0
118,Luxembourg,250050.0,634814.0
119,Macao,82.0,658391.0
120,Madagascar,64384.0,28427333.0
121,Malawi,85995.0,19647681.0
122,Malaysia,4510196.0,32776195.0
123,Maldives,179753.0,543620.0
124,Mali,31103.0,20855724.0
125,Malta,94992.0,516100.0
126,Marshall Islands,18.0,59618.0
127,Mauritania,59199.0,4775110.0
128,Mauritius,226993.0,1273428.0
129,Mexico,5782805.0,130262220.0
130,Micronesia (country),30.0,116255.0
131,Moldova,518967.0,4024025.0
132,Monaco,12198.0,39520.0
133,Mongolia,925073.0,3329282.0
134,Montenegro,237355.0,628051.0
135,Montserrat,980.0,4981.0
136,Morocco,1169057.0,37344787.0
137,Mozambique,225797.0,32163045.0
138,Myanmar,613355.0,54806014.0
139,Namibia,166859.0,2587344.0
140,Nauru,0.0,10873.0
141,Nepal,979164.0,29674920.0
142,Netherlands,8183189.0,17173094.0
143,New Caledonia,62330.0,288217.0
144,New Zealand,1185156.0,5126300.0
145,Nicaragua,18491.0,6702379.0
146,Niger,9035.0,25130810.0
147,Nigeria,256143.0,211400704.0
148,Niue,0.0,1614.0
149,North Korea,1.0,25887045.0
150,North Macedonia,312097.0,2082661.0
151,Northern Cyprus,0.0,
152,Northern Mariana Islands,0.0,57910.0
153,Norway,1434273.0,5465629.0
154,Oman,389473.0,5223376.0
155,Pakistan,1530556.0,225199929.0
156,Palau,5065.0,18174.0
157,Palestine,657705.0,5222756.0
158,Panama,865500.0,4381583.0
159,Papua New Guinea,44638.0,9119005.0
160,Paraguay,650661.0,7219641.0
161,Peru,3584160.0,33359415.0
162,Philippines,3691534.0,111046910.0
163,Pitcairn,0.0,47.0
164,Poland,6008059.0,37797000.0
165,Portugal,4749298.0,10167923.0
166,Puerto Rico,0.0,2828246.0
167,Qatar,369305.0,2930524.0
168,Romania,2909677.0,19127772.0
169,Russia,18072173.0,145912022.0
170,Rwanda,130116.0,13276517.0
171,Saint Helena,4.0,6095.0
172,Saint Kitts and Nevis,5757.0,53546.0
173,Saint Lucia,25877.0,184401.0
174,Saint Pierre and Miquelon,2750.0,5771.0
175,Saint Vincent and the Grenadines,10285.0,111269.0
176,Samoa,13499.0,200144.0
177,San Marino,17124.0,34010.0
178,Sao Tome and Principe,5994.0,223364.0
179,Saudi Arabia,769423.0,35340680.0
180,Senegal,86118.0,17196308.0
181,Serbia,2017945.0,6871547.0
182,Seychelles,44094.0,98910.0
183,Sierra Leone,7682.0,8141343.0
184,Singapore,1310616.0,5453600.0
185,Sint Maarten (Dutch part),0.0,43421.0
186,Slovakia,2543754.0,5449270.0
187,Slovenia,1025656.0,2078723.0
188,Solomon Islands,21240.0,703995.0
189,Somalia,26565.0,16359500.0
190,South Africa,3944808.0,60041996.0
191,South Korea,18141834.0,51305184.0
192,South Sudan,17625.0,11381377.0
193,Spain,12445092.0,46745211.0
194,Sri Lanka,663845.0,21497306.0
195,Sudan,62387.0,44909351.0
196,Suriname,80547.0,591798.0
197,Sweden,2509366.0,10160159.0
198,Switzerland,3674986.0,8715494.0
199,Syria,55894.0,18275704.0
200,Taiwan,2198163.0,23855008.0
201,Tajikistan,17786.0,9749625.0
202,Tanzania,35354.0,61498438.0
203,Thailand,4462231.0,69950844.0
204,Timor,22922.0,1343875.0
205,Togo,37110.0,8478242.0
206,Tokelau,0.0,1368.0
207,Tonga,11742.0,106759.0
208,Trinidad and Tobago,162187.0,1403374.0
209,Tunisia,1043445.0,11935764.0
210,Turkey,14249522.0,85042736.0
211,Turkmenistan,0.0,6117933.0
212,Turks and Caicos Islands,6149.0,39226.0
213,Tuvalu,0.0,11925.0
214,Uganda,164471.0,47123533.0
215,Ukraine,5040518.0,43466822.0
216,United Arab Emirates,909222.0,9991083.0
217,United Kingdom,21545812.0,68207114.0
218,United States,84545474.0,332915074.0
219,United States Virgin Islands,0.0,104218.0
220,Uruguay,925798.0,3485152.0
221,Uzbekistan,239059.0,33935765.0
222,Vanuatu,9438.0,314464.0
223,Vatican,29.0,812.0
224,Venezuela,523710.0,28704947.0
225,Vietnam,10722634.0,98168829.0
226,Wallis and Futuna,454.0,11094.0
227,Western Sahara,0.0,611872.0
228,Yemen,11823.0,30490639.0
229,Zambia,321915.0,18920657.0
230,Zimbabwe,253057.0,15092171.0
